Team,Year,VT,UB,BB,FX,Overall
S.E. Missouri,2015,50,53,56,57,56
Sacramento State,2015,46,46,39,43,48
San Jose State,2015,37,47,43,42,41
Seattle Pacific,2015,56,61,54,68,58
Southern Conn.,2015,63,68,70,65,70
Southern Utah,2015,23,20,20,31,16
Springfield College,2015,72,75,75,75,75
Stanford,2015,14,4,9,20,5
Temple,2015,68,72,65,66,66
Texas Woman's,2015,54,55,59,59,59
Towson,2015,53,27,32,38,43
UC Davis,2015,20,50,24,45,39
UCLA,2015,7,11,2,8,11
UIC,2015,55,49,69,68,60
Ursinus College,2015,67,71,60,70,69
Utah,2015,1,1,7,5,2
Utah State,2015,34,34,25,23,30
UW-Eau Claire,2015,78,80,79,74,79
UW-La Crosse,2015,76,69,74,72,73
UW-Oshkosh,2015,82,79,76,77,80
UW-Stout,2015,73,77,77,77,77
UW-Whitewater,2015,66,64,72,71,71
Washington,2015,32,22,18,29,34
West Chester,2015,65,65,71,66,65
West Virginia,2015,30,50,41,23,28
Western Michigan,2015,41,38,47,49,40
William & Mary,2015,57,59,52,51,54
Winona State,2015,74,73,78,76,76
Yale,2015,70,60,62,64,63
Air Force,2014,55,48,45,49,51
Alabama,2014,4,6,3,6,4
Alaska,2014,65,65,69,68,67
Arizona,2014,14,14,19,15,24
Arizona State,2014,26,27,25,17,30
Arkansas,2014,16,17,12,19,15
Auburn,2014,11,16,20,11,20
Ball State,2014,54,59,55,52,55
Boise State,2014,13,10,32,16,19
Bowling Green,2014,34,47,42,37,40
Bridgeport,2014,47,45,59,43,53
Brockport,2014,63,71,72,63,70
Brown,2014,57,55,60,56,57
BYU,2014,24,17,32,28,29
California,2014,17,19,22,21,16
Centenary College,2014,66,70,62,65,65
Central Michigan,2014,22,21,16,13,17
Cornell,2014,59,56,68,62,61
Cortland State,2014,69,72,67,70,71
Denver,2014,17,22,14,23,18
Eastern Michigan,2014,49,54,49,54,46
Florida,2014,5,2,1,2,1
George Washington,2014,30,35,52,35,42
Georgia,2014,6,1,6,10,5
Gustavus Adolphus,2014,82,82,82,82,82
Hamline,2014,76,79,79,79,79
Illinois,2014,19,13,9,13,11
Illinois State,2014,62,49,61,67,60
Iowa,2014,37,42,47,34,38
Iowa State,2014,46,40,30,30,21
Ithaca College,2014,80,80,80,80,80
Kent State,2014,29,37,35,25,28
Kentucky,2014,21,28,40,18,21
Lindenwood,2014,58,61,51,58,58
LSU,2014,1,5,4,4,3
Maryland,2014,37,28,40,33,32
Michigan,2014,7,8,17,4,10
Michigan State,2014,41,43,29,29,39
Minnesota,2014,8,25,13,7,14
Missouri,2014,42,26,38,41,41
Nebraska,2014,9,12,11,12,6
New Hampshire,2014,31,39,17,22,25
North Carolina,2014,53,32,36,53,44
North Carolina State,2014,23,46,23,27,31
Northern Illinois,2014,50,58,39,48,49
Ohio State,2014,27,20,21,25,23
Oklahoma,2014,2,3,1,3,1
Oregon State,2014,20,11,8,19,13
Penn State,2014,14,15,14,9,12
Pennsylvania,2014,64,67,63,64,63
Pittsburgh,2014,36,52,34,40,43
Rhode Island College,2014,81,81,81,81,81
Rutgers,2014,34,37,28,36,35
S.E. Missouri,2014,44,33,58,47,48
Sacramento State,2014,33,51,43,46,45
San Jose State,2014,37,41,31,31,33
Seattle Pacific,2014,56,53,56,45,54
Southern Conn.,2014,67,68,66,60,68
Southern Utah,2014,31,23,26,37,26
Springfield College,2014,77,75,78,73,76
Stanford,2014,9,9,5,23,9
Temple,2014,60,63,57,59,62
Texas Woman's,2014,51,44,47,50,47
Towson,2014,61,60,54,57,59
UC Davis,2014,45,33,27,42,34
UCLA,2014,12,6,6,7,8
UIC,2014,43,36,53,50,52
Ursinus College,2014,74,74,73,74,73
Utah,2014,3,4,9,1,7
Utah State,2014,25,31,37,32,36
UW-Eau Claire,2014,79,76,75,75,76
UW-La Crosse,2014,71,69,71,71,72
UW-Oshkosh,2014,78,73,74,77,74
UW-Stout,2014,73,77,76,78,78
UW-Whitewater,2014,70,63,69,72,69
Washington,2014,40,24,23,39,26
West Chester,2014,68,65,64,66,66
West Virginia,2014,28,28,43,43,37
Western Michigan,2014,48,50,45,55,50
William & Mary,2014,52,57,50,61,56
Winona State,2014,75,78,77,76,75
Yale,2014,72,62,65,69,64
Air Force,2013,57,49,63,56,56
Alabama,2013,2,7,3,1,3
Alaska,2013,57,61,55,69,62
Arizona,2013,21,16,20,17,17
Arizona State,2013,38,28,25,30,24
Arkansas,2013,16,14,22,9,10
Auburn,2013,18,18,7,14,13
Ball State,2013,41,50,59,49,51
Boise State,2013,14,14,35,17,23
Bowling Green,2013,42,55,48,28,48
Bridgeport,2013,18,43,39,22,34
Brockport,2013,68,70,68,71,70
Brown,2013,56,63,51,61,61
BYU,2013,29,22,39,38,33
California,2013,18,34,46,23,28
Centenary College,2013,67,64,66,63,66
Central Michigan,2013,28,25,26,24,25
Cornell,2013,59,58,65,59,60
Cortland State,2013,70,77,72,67,71
Denver,2013,12,12,15,12,20
Eastern Michigan,2013,34,52,57,44,49
Florida,2013,3,1,1,1,1
George Washington,2013,47,47,32,40,39
Georgia,2013,8,3,4,10,6
Gustavus Adolphus,2013,80,81,81,81,81
Hamline,2013,75,80,75,80,79
Illinois,2013,30,20,13,13,11
Illinois State,2013,53,37,45,55,46
Iowa,2013,27,16,42,21,30
Iowa State,2013,51,27,31,35,27
Ithaca College,2013,78,71,80,79,77
Kent State,2013,23,24,29,32,36
Kentucky,2013,25,21,16,29,21
Lindenwood,2013,66,65,60,66,63
LSU,2013,1,11,12,5,5
Maryland,2013,15,41,23,16,22
Michigan,2013,4,4,8,4,7
Michigan State,2013,31,51,28,42,37
Minnesota,2013,11,29,11,8,8
Missouri,2013,43,36,26,48,43
Nebraska,2013,6,6,5,10,14
New Hampshire,2013,44,44,37,26,41
North Carolina,2013,49,26,29,38,35
North Carolina State,2013,26,34,24,34,26
Northern Illinois,2013,54,54,43,45,50
Ohio State,2013,24,23,18,25,18
Oklahoma,2013,6,2,1,1,2
Oregon State,2013,10,5,10,19,16
Penn State,2013,17,13,19,15,15
Pennsylvania,2013,61,60,52,64,59
Pittsburgh,2013,33,32,36,30,32
Rhode Island College,2013,82,82,82,82,82
Rutgers,2013,37,37,41,37,44
S.E. Missouri,2013,55,33,54,50,47
Sacramento State,2013,36,37,38,43,38
San Jose State,2013,48,40,33,41,40
Seattle Pacific,2013,64,59,62,57,58
Southern Conn.,2013,63,67,67,60,67
Southern Utah,2013,35,30,34,45,31
Springfield College,2013,74,76,77,78,76
Stanford,2013,13,9,8,19,12
Temple,2013,65,66,49,62,65
Texas Woman's,2013,50,57,47,47,55
Towson,2013,52,56,53,51,53
UC Davis,2013,46,41,44,36,42
UCLA,2013,9,9,6,6,4
UIC,2013,40,45,61,54,52
Ursinus College,2013,72,75,76,77,74
Utah,2013,5,8,14,7,9
Utah State,2013,39,48,50,58,54
UW-Eau Claire,2013,79,78,73,73,78
UW-La Crosse,2013,76,74,71,72,72
UW-Oshkosh,2013,81,79,79,76,80
UW-Stout,2013,73,72,78,75,73
UW-Whitewater,2013,69,69,70,70,68
Washington,2013,31,18,16,33,19
West Chester,2013,71,68,69,68,69
West Virginia,2013,21,46,21,26,29
Western Michigan,2013,44,31,55,53,45
William & Mary,2013,60,53,57,52,57
Wilson College,2013,83,83,83,83,
Winona State,2013,77,73,74,74,75
Yale,2013,62,62,64,65,64
Air Force,2012,62,53,60,60,59
Alabama,2012,2,6,4,3,1
Alaska,2012,63,63,67,67,65
Arizona,2012,21,15,14,15,22
Arizona State,2012,33,33,24,28,27
Arkansas,2012,6,7,15,9,6
Auburn,2012,25,10,17,19,15
Ball State,2012,58,44,57,50,52
Boise State,2012,10,11,16,24,14
Bowling Green,2012,45,57,50,45,48
Bridgeport,2012,36,48,30,17,38
Brockport,2012,69,69,68,66,69
Brown,2012,61,63,62,54,62
BYU,2012,37,36,31,39,37
California,2012,47,41,44,58,49
Centenary College,2012,55,65,64,57,61
Central Michigan,2012,30,31,37,36,34
Cornell,2012,65,61,58,68,63
Cortland State,2012,64,68,69,62,68
Denver,2012,19,17,26,13,23
Eastern Michigan,2012,51,52,53,55,53
Florida,2012,4,1,1,7,2
George Washington,2012,48,54,51,42,51
Georgia,2012,9,3,5,4,11
Gustavus Adolphus,2012,78,81,80,79,80
Hamline,2012,79,78,77,80,78
Illinois,2012,28,23,13,20,18
Illinois State,2012,45,43,41,51,43
Iowa,2012,22,13,43,36,26
Iowa State,2012,29,30,22,27,35
Ithaca College,2012,74,71,70,72,70
Kent State,2012,17,24,38,34,33
Kentucky,2012,24,26,20,32,25
LSU,2012,6,14,11,10,9
Maryland,2012,27,31,39,23,28
Michigan,2012,11,18,25,28,13
Michigan State,2012,31,33,32,49,32
Minnesota,2012,16,27,21,16,24
Missouri,2012,17,21,19,14,20
Nebraska,2012,3,2,9,5,8
New Hampshire,2012,35,39,27,31,31
North Carolina,2012,31,38,29,42,30
North Carolina State,2012,23,21,18,21,17
Northern Illinois,2012,49,50,42,30,46
Ohio State,2012,12,16,11,10,10
Oklahoma,2012,5,4,2,1,7
Oregon State,2012,15,7,6,8,12
Penn State,2012,13,19,10,12,16
Pennsylvania,2012,59,46,55,63,55
Pittsburgh,2012,37,45,33,35,40
Rhode Island College,2012,81,80,81,81,81
Rutgers,2012,50,59,47,46,54
S.E. Missouri,2012,56,55,55,61,56
Sacramento State,2012,40,47,40,32,41
San Jose State,2012,44,40,36,18,36
Seattle Pacific,2012,60,60,59,53,58
Southern Conn.,2012,66,66,66,64,66
Southern Utah,2012,39,35,34,47,42
Springfield College,2012,72,74,75,71,73
Stanford,2012,14,9,7,26,4
Temple,2012,57,62,54,55,60
Texas Woman's,2012,43,42,49,41,45
Towson,2012,42,51,46,40,44
UC Davis,2012,53,55,47,52,50
UCLA,2012,1,5,3,2,3
UIC,2012,41,24,35,48,29
Ursinus College,2012,70,72,73,73,71
Utah,2012,6,12,8,6,5
Utah State,2012,52,29,45,44,47
UW-Eau Claire,2012,77,77,74,75,75
UW-La Crosse,2012,71,70,71,74,74
UW-Oshkosh,2012,80,79,79,78,79
UW-Stout,2012,76,75,78,77,76
UW-Whitewater,2012,73,73,72,69,72
Washington,2012,25,20,23,24,18
West Chester,2012,68,66,63,70,67
West Virginia,2012,20,28,27,21,21
Western Michigan,2012,33,37,52,38,39
William & Mary,2012,54,49,65,59,57
Wilson College,2012,82,82,82,82,82
Winona State,2012,75,76,76,76,77
Yale,2012,67,58,61,65,64
Air Force,2011,54,51,55,66,58
Alabama,2011,1,4,3,2,1
Alaska,2011,59,58,62,64,62
Arizona,2011,18,21,19,34,21
Arizona State,2011,31,35,46,32,38
Arkansas,2011,9,22,13,11,10
Auburn,2011,30,23,18,25,19
Ball State,2011,45,48,40,40,48
Boise State,2011,11,13,15,18,13
Bowling Green,2011,56,61,63,53,57
Bridgeport,2011,51,53,47,49,53
Brockport,2011,70,67,67,71,68
Brown,2011,64,57,64,60,63
BYU,2011,25,20,24,36,27
Cal State-Fullerton,2011,58,63,60,62,64
California,2011,57,45,44,50,50
Centenary College,2011,53,56,65,63,56
Central Michigan,2011,26,26,26,24,23
Cornell,2011,54,52,59,56,55
Cortland State,2011,65,73,74,67,71
Denver,2011,13,18,29,16,17
Eastern Michigan,2011,47,59,54,61,54
Florida,2011,2,2,2,1,7
George Washington,2011,50,49,38,48,42
Georgia,2011,6,5,4,12,9
Gustavus Adolphus,2011,81,81,81,81,81
Hamline,2011,74,79,80,78,78
Illinois,2011,18,17,11,8,11
Illinois State,2011,41,47,43,41,45
Iowa,2011,23,11,16,28,28
Iowa State,2011,32,14,25,15,24
Ithaca College,2011,71,72,71,72,73
Kent State,2011,24,15,20,35,12
Kentucky,2011,18,29,32,25,25
LSU,2011,15,24,23,19,20
Maryland,2011,18,32,28,33,35
Michigan,2011,4,12,9,3,6
Michigan State,2011,37,30,37,41,34
Minnesota,2011,32,19,14,19,22
Missouri,2011,29,31,33,29,32
Nebraska,2011,3,6,21,7,4
New Hampshire,2011,27,25,27,30,30
North Carolina,2011,43,37,34,44,29
North Carolina State,2011,28,26,29,17,26
Northern Illinois,2011,61,42,42,57,49
Ohio State,2011,16,28,10,13,16
Oklahoma,2011,9,10,1,4,3
Oregon State,2011,8,1,7,10,8
Penn State,2011,22,8,12,9,14
Pennsylvania,2011,66,65,51,59,60
Pittsburgh,2011,38,43,49,52,46
Rhode Island College,2011,83,83,83,83,83
Rutgers,2011,40,50,41,25,41
S.E. Missouri,2011,42,40,31,43,39
Sacramento State,2011,48,55,52,45,51
San Jose State,2011,34,33,39,31,31
Seattle Pacific,2011,63,60,61,54,61
Southern Conn.,2011,67,64,72,65,66
Southern Utah,2011,36,38,17,22,33
Springfield College,2011,79,80,79,80,80
Stanford,2011,7,9,5,6,15
Temple,2011,59,62,58,55,59
Texas Woman's,2011,35,44,55,51,43
Towson,2011,51,54,50,39,52
UC Davis,2011,48,39,48,37,43
UCLA,2011,5,7,6,4,2
UIC,2011,39,46,45,46,40
Ursinus College,2011,75,77,68,76,74
Utah,2011,12,3,8,14,5
Utah State,2011,46,41,53,47,47
UW-Eau Claire,2011,76,75,75,79,77
UW-La Crosse,2011,69,68,70,68,67
UW-Oshkosh,2011,80,78,78,74,79
UW-Stout,2011,77,76,76,75,75
UW-Whitewater,2011,68,69,66,69,69
Washington,2011,14,16,22,23,18
West Chester,2011,72,70,73,73,72
West Virginia,2011,17,34,35,21,36
Western Michigan,2011,44,36,36,38,37
William & Mary,2011,62,66,57,57,65
Wilson College,2011,82,82,82,82,82
Winona State,2011,73,74,77,77,76
Yale,2011,77,71,69,70,70
Air Force,2010,60,58,61,63,59
Alabama,2010,1,3,3,2,3
Alaska,2010,53,68,62,54,62
Arizona,2010,17,25,23,26,20
Arizona State,2010,27,28,40,21,32
Arkansas,2010,11,13,9,12,11
Auburn,2010,20,14,11,28,19
Ball State,2010,49,45,43,40,43
Boise State,2010,14,20,27,28,17
Bowling Green,2010,46,44,48,43,46
Bridgeport,2010,45,53,42,34,53
Brockport,2010,68,66,68,68,68
Brown,2010,69,65,60,59,66
BYU,2010,29,30,24,36,33
Cal State-Fullerton,2010,47,39,56,60,50
California,2010,58,57,54,55,55
Centenary College,2010,59,64,67,61,64
Central Michigan,2010,21,31,22,19,22
Cornell,2010,56,59,58,57,56
Cortland State,2010,67,71,71,72,70
Denver,2010,24,23,17,25,15
Eastern Michigan,2010,52,50,50,52,51
Florida,2010,4,5,4,7,5
George Washington,2010,48,54,50,38,47
Georgia,2010,10,4,2,6,13
Gustavus Adolphus,2010,79,80,82,80,80
Hamline,2010,82,83,80,81,83
Illinois,2010,18,10,10,13,16
Illinois State,2010,44,42,33,43,41
Iowa,2010,36,22,24,35,27
Iowa State,2010,23,17,16,20,24
Ithaca College,2010,73,73,73,70,72
Kent State,2010,26,25,38,22,28
Kentucky,2010,16,18,28,14,21
LSU,2010,8,8,8,15,9
Maryland,2010,28,38,29,32,36
Michigan,2010,9,10,7,9,10
Michigan State,2010,30,29,19,27,29
Minnesota,2010,39,18,20,37,25
Missouri,2010,15,15,17,9,12
Nebraska,2010,5,16,15,11,7
New Hampshire,2010,32,33,32,23,30
North Carolina,2010,35,34,36,31,31
North Carolina State,2010,24,27,36,18,34
Northern Illinois,2010,55,46,49,53,48
Ohio State,2010,34,35,30,39,35
Oklahoma,2010,1,2,1,4,2
Oregon State,2010,13,7,6,5,8
Penn State,2010,6,9,14,17,14
Pennsylvania,2010,66,60,59,67,61
Pittsburgh,2010,19,43,44,42,38
Rhode Island College,2010,81,82,81,83,82
Rutgers,2010,51,62,57,51,57
S.E. Missouri,2010,38,41,41,47,40
Sacramento State,2010,50,40,34,46,42
San Jose State,2010,39,37,39,24,37
Seattle Pacific,2010,63,55,65,64,63
Southern Conn.,2010,64,61,66,66,67
Southern Utah,2010,22,24,20,16,18
Springfield College,2010,70,75,74,69,73
Stanford,2010,12,6,12,3,4
Temple,2010,62,67,55,62,60
Texas Woman's,2010,39,48,45,48,44
Towson,2010,37,52,46,50,45
UC Davis,2010,42,36,34,41,39
UCLA,2010,3,1,4,1,1
UIC,2010,43,51,53,45,49
Ursinus College,2010,76,70,77,74,74
Utah,2010,7,12,13,8,6
Utah State,2010,53,46,52,56,54
UW-Eau Claire,2010,78,79,78,78,79
UW-La Crosse,2010,72,72,69,71,69
UW-Oshkosh,2010,80,74,79,77,78
UW-Stout,2010,77,78,76,79,77
UW-Whitewater,2010,71,69,70,75,71
Washington,2010,33,21,26,30,23
West Chester,2010,75,77,75,73,76
West Virginia,2010,31,32,31,33,26
Western Michigan,2010,61,48,47,49,52
William & Mary,2010,57,56,64,65,58
Wilson College,2010,83,81,83,82,81
Winona State,2010,74,76,72,76,75
Yale,2010,65,63,62,58,65
Air Force,2009,55,63,65,62,61
Alabama,2009,3,5,4,4,2
Alaska,2009,45,55,56,52,51
Arizona,2009,20,27,23,21,24
Arizona State,2009,32,37,19,34,32
Arkansas,2009,6,10,16,5,5
Auburn,2009,10,11,11,8,16
Ball State,2009,44,46,51,57,52
Boise State,2009,21,22,26,18,20
Bowling Green,2009,51,47,48,50,48
Bridgeport,2009,58,58,55,56,59
Brockport,2009,68,68,67,69,68
Brown,2009,67,65,64,64,65
BYU,2009,51,53,45,53,50
Cal State-Fullerton,2009,33,42,52,45,42
California,2009,57,60,47,60,57
Centenary College,2009,59,50,63,55,56
Central Michigan,2009,34,23,35,32,23
Cornell,2009,50,61,57,49,55
Cortland State,2009,64,72,74,78,74
Denver,2009,27,30,12,27,18
Eastern Michigan,2009,46,51,49,48,44
Florida,2009,8,3,8,3,4
George Washington,2009,43,44,44,39,43
Georgia,2009,4,1,1,1,1
Gustavus Adolphus,2009,80,79,80,80,80
Hamline,2009,73,82,78,74,78
Illinois,2009,18,17,13,15,12
Illinois State,2009,47,48,41,37,46
Iowa,2009,22,28,32,19,33
Iowa State,2009,36,18,24,25,19
Ithaca College,2009,76,66,73,68,70
Kent State,2009,18,32,36,14,21
Kentucky,2009,14,24,25,22,30
LSU,2009,5,4,9,12,6
Maryland,2009,37,35,30,35,36
Michigan,2009,24,13,20,9,14
Michigan State,2009,31,28,27,17,22
Minnesota,2009,38,15,10,31,28
Missouri,2009,11,19,15,16,13
MIT,2009,77,73,75,76,76
Nebraska,2009,15,14,17,6,17
New Hampshire,2009,26,25,34,38,34
North Carolina,2009,25,20,22,42,29
North Carolina State,2009,16,31,37,30,31
Northern Illinois,2009,42,43,39,44,40
Ohio State,2009,30,16,21,24,14
Oklahoma,2009,9,9,6,7,10
Oregon State,2009,12,8,5,10,11
Penn State,2009,12,12,18,20,9
Pennsylvania,2009,66,59,54,70,62
Pittsburgh,2009,27,39,30,36,38
Rhode Island College,2009,83,83,81,81,83
Rutgers,2009,62,67,60,61,64
S.E. Missouri,2009,40,36,38,27,37
Sacramento State,2009,49,40,29,43,39
San Jose State,2009,35,26,43,23,27
Seattle Pacific,2009,63,57,68,51,63
Southern Conn.,2009,71,64,62,65,66
Southern Utah,2009,27,32,14,26,35
Springfield College,2009,70,76,77,72,75
Stanford,2009,7,6,3,12,8
Temple,2009,60,56,45,59,58
Texas Woman's,2009,47,45,50,54,49
Towson,2009,41,54,40,40,45
UC Davis,2009,53,48,58,47,54
UCLA,2009,1,7,7,11,7
UIC,2009,39,41,42,41,41
Ursinus College,2009,72,70,72,73,72
Utah,2009,2,2,2,2,3
Utah State,2009,54,38,53,46,47
UW-Eau Claire,2009,81,80,83,82,81
UW-La Crosse,2009,65,71,70,66,67
UW-Oshkosh,2009,82,81,82,83,82
UW-Stout,2009,79,78,76,79,77
UW-Whitewater,2009,68,69,69,71,69
Washington,2009,23,34,28,33,26
West Chester,2009,78,77,79,77,79
West Virginia,2009,17,21,33,29,25
Western Michigan,2009,55,52,59,57,53
William & Mary,2009,61,62,61,63,60
Wilson College,2009,84,84,84,84,84
Winona State,2009,74,75,71,75,73
Yale,2009,75,74,66,67,71
